window_start,window_end,n,n_pos,pr_auc,method
243480,248480,5000,11,0.8193496167126552,adwin_online
248480,253480,5000,14,0.8524722826193414,adwin_online
253480,258480,5000,5,0.6056662211756719,adwin_online
258480,263480,5000,8,0.8756341154090045,adwin_online
263480,268480,5000,2,1.0,adwin_online
268480,273480,5000,1,0.006369426751592357,adwin_online
273480,278480,5000,5,0.2996181113272474,adwin_online
278480,283480,5000,5,0.7602919708029198,adwin_online
283480,284807,1327,0,,adwin_online
28480,33480,5000,10,0.9012987012987013,single_expert
33480,38480,5000,0,,single_expert
38480,43480,5000,30,0.9302727929038608,single_expert
43480,48480,5000,15,0.8660934878326183,single_expert
48480,53480,5000,5,0.41616144589595916,single_expert
53480,58480,5000,8,0.32853199728536464,single_expert
58480,63480,5000,4,0.5177049080501765,single_expert
63480,68480,5000,6,0.7713675213675214,single_expert
68480,73480,5000,7,0.6922273984129654,single_expert
73480,78480,5000,13,0.9314802844214609,single_expert
78480,83480,5000,12,0.9173965936739659,single_expert
83480,88480,5000,5,1.0,single_expert
88480,93480,5000,6,0.6774486995943689,single_expert
93480,98480,5000,8,0.6845793462536721,single_expert
98480,103480,5000,10,0.7007055226325668,single_expert
103480,108480,5000,6,0.6795505182601956,single_expert
108480,113480,5000,3,0.6673784104389087,single_expert
113480,118480,5000,4,0.33240477437701116,single_expert
118480,123480,5000,10,0.52214036441017,single_expert
123480,128480,5000,6,0.5226363385738226,single_expert
128480,133480,5000,1,0.005154639175257732,single_expert
133480,138480,5000,2,1.0,single_expert
138480,143480,5000,12,0.9171954873964391,single_expert
143480,148480,5000,9,0.6440457203615098,single_expert
148480,153480,5000,45,0.7623214073438662,single_expert
153480,158480,5000,26,0.7837956177172865,single_expert
158480,163480,5000,1,0.1111111111111111,single_expert
163480,168480,5000,3,0.6388888888888888,single_expert
168480,173480,5000,1,0.2,single_expert
173480,178480,5000,3,0.5576005453306067,single_expert
178480,183480,5000,3,0.738095238095238,single_expert
183480,188480,5000,1,0.25,single_expert
188480,193480,5000,13,0.5457633751373149,single_expert
193480,198480,5000,2,0.03349719101123595,single_expert
198480,203480,5000,6,0.7718253968253967,single_expert
203480,208480,5000,4,0.5432291666666667,single_expert
208480,213480,5000,5,0.5727450980392157,single_expert
213480,218480,5000,6,0.7739404352806415,single_expert
218480,223480,5000,8,0.489146938576513,single_expert
223480,228480,5000,5,0.8761904761904762,single_expert
228480,233480,5000,6,0.43445630829651444,single_expert
233480,238480,5000,12,0.844772126022126,single_expert
238480,243480,5000,6,0.6887917637917637,single_expert
243480,248480,5000,11,0.8369015229696345,single_expert
248480,253480,5000,14,0.7917542904652338,single_expert
253480,258480,5000,5,0.6098789283874291,single_expert
258480,263480,5000,8,0.8075062814070352,single_expert
263480,268480,5000,2,0.22619047619047616,single_expert
268480,273480,5000,1,0.0625,single_expert
273480,278480,5000,5,0.07050275632465479,single_expert
278480,283480,5000,5,0.8011402508551881,single_expert
283480,284807,1327,0,,single_expert
28480,33480,5000,10,0.9012987012987013,mixture
33480,38480,5000,0,,mixture
38480,43480,5000,30,0.9177156249978936,mixture
43480,48480,5000,15,0.8163447357846092,mixture
48480,53480,5000,5,0.41616144589595916,mixture
53480,58480,5000,8,0.5018809334167968,mixture
58480,63480,5000,4,0.49640804597701144,mixture
63480,68480,5000,6,0.6747762069683377,mixture
68480,73480,5000,7,0.7147815263582019,mixture
73480,78480,5000,13,0.9430769230769231,mixture
78480,83480,5000,12,0.9171597633136094,mixture
83480,88480,5000,5,1.0,mixture
88480,93480,5000,6,0.6391931259114867,mixture
93480,98480,5000,8,0.4490637521703684,mixture
98480,103480,5000,10,0.7009310877953305,mixture
103480,108480,5000,6,0.8353293413173652,mixture
108480,113480,5000,3,0.6684782608695652,mixture
113480,118480,5000,4,0.5425041876046901,mixture
118480,123480,5000,10,0.4792695364089449,mixture
123480,128480,5000,6,0.31057824537089535,mixture
128480,133480,5000,1,0.00043346337234503684,mixture
133480,138480,5000,2,0.009876902200252011,mixture
138480,143480,5000,12,0.6767026570131454,mixture
143480,148480,5000,9,0.5673375023423466,mixture
148480,153480,5000,45,0.802443577059907,mixture
153480,158480,5000,26,0.8526727333073354,mixture
158480,163480,5000,1,1.0,mixture
163480,168480,5000,3,0.7,mixture
168480,173480,5000,1,1.0,mixture
173480,178480,5000,3,0.6742424242424242,mixture
178480,183480,5000,3,0.38930007309941517,mixture
183480,188480,5000,1,1.0,mixture
188480,193480,5000,13,0.7492510094172162,mixture
193480,198480,5000,2,0.011634199134199134,mixture
198480,203480,5000,6,1.0,mixture
203480,208480,5000,4,0.7502522068095838,mixture
208480,213480,5000,5,0.8091743119266055,mixture
213480,218480,5000,6,0.8338541666666666,mixture
218480,223480,5000,8,0.4421442451237512,mixture
223480,228480,5000,5,1.0,mixture
228480,233480,5000,6,0.9444444444444444,mixture
233480,238480,5000,12,0.9000932208570206,mixture
238480,243480,5000,6,0.7715984442744198,mixture
243480,248480,5000,11,0.7474475482994691,mixture
248480,253480,5000,14,0.8750464519893735,mixture
253480,258480,5000,5,0.6040371016993711,mixture
258480,263480,5000,8,0.8175545007032349,mixture
263480,268480,5000,2,0.41666666666666663,mixture
268480,273480,5000,1,0.005050505050505051,mixture
273480,278480,5000,5,0.34203371801682886,mixture
278480,283480,5000,5,0.6537137060986433,mixture
283480,284807,1327,0,,mixture
